Y,Y_real,Y_probability
1,1,0.99089223
1,1,0.9944902
1,1,0.99515456
1,1,0.98839235
1,1,0.9874627
1,1,0.978067
1,1,0.97826654
1,1,0.9782839
1,1,0.9780948
1,1,0.977785
1,1,0.9777756
1,1,0.998804
1,1,0.9988078
1,1,0.9988148
1,1,0.99883914
1,1,0.99470574
1,1,0.9982511
0,1,0.49626434
0,1,0.52225846
0,1,0.5616022
0,1,0.34171307
1,1,0.9979115
0,1,0.62039804
0,1,0.655233
0,1,0.7610735
0,1,0.8085519
0,1,0.9023673
0,1,0.7176044
0,1,0.6847146
0,1,0.48210207
0,1,0.49664134
0,1,0.47098935
0,1,0.55878407
1,1,0.9525927
0,1,0.4678808
0,1,0.31095052
0,1,0.52287704
0,1,0.73497164
0,1,0.53702974
0,1,0.4437106
0,1,0.41793036
0,1,0.44966224
0,1,0.6742854
0,1,0.21076569
0,1,0.20363437
0,1,0.20274957
0,1,0.1952447
0,1,0.18731368
0,1,0.18677719
0,1,0.18651071
0,1,0.18517737
0,1,0.18455057
0,1,0.18458356
0,1,0.18458356
0,1,0.18458356
1,1,0.99546075
1,1,0.9976065
1,1,0.9984587
1,1,0.9984614
1,1,0.9984614
1,1,0.99846053
1,1,0.9989911
1,1,0.96534705
1,1,0.9631851
1,1,0.9737884
1,1,0.99303406
1,1,0.9938656
1,1,0.99302447
1,1,0.98676276
1,1,0.9806075
1,1,0.9761882
1,1,0.98267823
1,1,0.9915313
0,1,0.79442984
1,1,0.9988196
1,1,0.99823916
1,1,0.9990288
1,1,0.99907154
1,1,0.9992278
1,1,0.9992329
1,1,0.99923474
1,1,0.99918306
1,1,0.9790691
1,1,0.9991502
0,1,0.72071266
0,1,0.80227137
0,1,0.8962726
0,1,0.72781634
0,1,0.71982485
1,1,0.9980336
1,1,0.99799377
1,1,0.99806654
1,1,0.99908906
1,1,0.9990893
1,1,0.999123
1,1,0.99415505
1,1,0.99439335
1,1,0.99439335
1,1,0.9944385
1,1,0.9983729
1,1,0.9983054
1,1,0.9983054
1,1,0.9983054
1,1,0.99830604
1,1,0.99449164
1,1,0.9958851
1,1,0.99919707
1,1,0.99643075
1,1,0.9989819
1,1,0.99860173
0,1,0.7831589
0,1,0.6502428
0,1,0.46856868
0,1,0.75645363
1,1,0.9699387
1,1,0.97309977
0,1,0.46967638
0,1,0.46993968
0,1,0.46783254
0,1,0.7360189
0,1,0.6316415
0,1,0.40983942
1,1,0.9978136
1,1,0.9981537
1,1,0.9981789
1,1,0.9983356
0,1,0.5295857
0,1,0.5173786
0,1,0.5177382
0,1,0.5339327
0,1,0.5210024
0,1,0.5226957
1,1,0.9992083
0,1,0.631967
0,1,0.64379185
0,1,0.9211876
1,1,0.9616098
0,1,0.8201573
0,1,0.84540963
0,1,0.85670847
0,1,0.85670847
0,1,0.84143996
0,1,0.43096077
0,1,0.43802157
0,1,0.4398343
0,1,0.69181657
0,1,0.48930302
0,1,0.51087713
0,1,0.8272386
0,1,0.7439888
0,1,0.7173478
0,1,0.7232391
0,1,0.7425548
0,1,0.7298403
0,1,0.705805
0,1,0.90112
0,1,0.48525515
0,1,0.39813763
0,1,0.4885736
0,1,0.49870396
0,1,0.40947518
0,1,0.4227615
0,1,0.4928355
0,1,0.69745135
0,1,0.570546
0,1,0.6971789
0,1,0.5486279
0,1,0.55031586
0,1,0.54980105
0,1,0.580427
0,1,0.8339542
0,1,0.8443513
0,1,0.8443513
0,1,0.7955532
0,1,0.63742965
0,1,0.7551022
0,1,0.56147456
0,1,0.6360046
0,1,0.5780086
0,1,0.57578164
0,1,0.46550918
0,1,0.5313493
0,1,0.4995351
1,1,0.9756685
1,1,0.99876165
1,1,0.99876755
1,1,0.9987704
1,1,0.9987218
1,1,0.99877423
1,1,0.9987853
0,1,0.5041069
0,1,0.40686676
0,1,0.45531532
0,1,0.46099716
0,1,0.46426958
0,1,0.4750999
0,1,0.49127725
1,1,0.9975444
1,1,0.9978039
1,1,0.9977918
1,1,0.99776953
1,1,0.9964647
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
1,1,0.99651885
