Y,Y_real,Y_probability
0,0,0.90561855
1,0,0.9524077
0,0,0.92287576
0,0,0.9185236
0,0,0.9294556
0,0,0.9312431
0,0,0.93284756
0,0,0.93167216
1,0,0.9596089
0,0,0.9370611
1,0,0.9559204
1,0,0.95897025
1,0,0.95255744
1,0,0.9543704
0,0,0.9393792
1,0,0.9906843
1,0,0.95428854
0,0,0.94593084
1,0,0.9837571
1,0,0.9849427
1,0,0.9999155
0,0,0.47087008
0,0,0.33879077
1,0,0.9957413
0,0,0.7294261
0,0,0.47180647
0,0,0.47837704
0,0,0.7657311
1,0,0.9822231
0,0,0.87745386
0,0,0.94247407
1,0,0.9936093
0,0,0.6340245
0,0,0.45309073
1,0,0.9869182
1,0,0.98717135
0,0,0.8932894
0,0,0.9481299
0,0,0.3773908
1,0,0.95082045
0,0,0.43448177
1,0,0.9854793
1,0,0.9825002
0,0,0.7360196
0,0,0.541977
0,0,0.73835933
0,0,0.42206445
0,0,0.5012113
1,0,0.9757461
1,0,0.97834575
1,0,0.9791162
1,0,0.9812408
1,0,0.98846567
1,0,0.9549665
1,0,0.9539449
1,0,0.9537393
1,0,0.98959386
1,0,0.9894868
1,0,0.9894868
1,0,0.98965544
1,0,0.98881346
1,0,0.9887858
1,0,0.9887655
1,0,0.9907995
1,0,0.99148214
1,0,0.9896972
1,0,0.9945566
1,0,0.99495214
1,0,0.9946683
0,0,0.6265783
0,0,0.9376067
0,0,0.94603544
0,0,0.53777504
1,0,0.97442234
1,0,0.9555461
0,0,0.7816308
0,0,0.7700989
0,0,0.3322968
0,0,0.7602154
0,0,0.77861315
0,0,0.63188046
0,0,0.8736769
0,0,0.4330559
0,0,0.4330559
1,0,0.96758085
0,0,0.8507116
0,0,0.6745856
0,0,0.6745856
0,0,0.6745856
0,0,0.6745856
0,0,0.67455924
0,0,0.83496386
0,0,0.83178216
0,0,0.87086636
0,0,0.87086636
0,0,0.87086636
0,0,0.6772288
1,0,0.99525076
0,0,0.89376616
0,0,0.7132348
0,0,0.76958966
0,0,0.9410608
0,0,0.9477662
1,0,0.95353717
1,0,0.95286864
1,0,0.95286685
1,0,0.95292825
1,0,0.9750538
1,0,0.9766973
1,0,0.9683897
1,0,0.9523102
1,0,0.9539061
1,0,0.9547437
0,0,0.77350336
0,0,0.7794176
0,0,0.584714
0,0,0.56157786
0,0,0.56735325
0,0,0.5743865
0,0,0.5650554
0,0,0.56159073
0,0,0.56159073
0,0,0.56159073
0,0,0.56159073
0,0,0.56159073
0,0,0.56159073
0,0,0.56145376
0,0,0.5588862
0,0,0.55885243
0,0,0.5527844
0,0,0.5672376
1,0,0.9532397
1,0,0.95526934
1,0,0.95550627
1,0,0.9554663
1,0,0.95490444
1,0,0.95566046
1,0,0.9566481
1,0,0.95838505
1,0,0.95614827
1,0,0.95505345
1,0,0.95486885
1,0,0.9549252
1,0,0.95621395
1,0,0.9561858
1,0,0.95625615
1,0,0.95654154
0,0,0.94881636
1,0,0.95408344
1,0,0.9533285
1,0,0.9545823
1,0,0.954173
1,0,0.95428187
1,0,0.9545863
0,0,0.68332505
0,0,0.40067175
0,0,0.53051484
1,0,0.9871179
0,0,0.66743624
0,0,0.65679806
0,0,0.66750413
0,0,0.67368734
0,0,0.83309114
1,0,0.96694994
1,0,0.97179216
1,0,0.9817133
0,0,0.9446361
0,0,0.9476987
1,0,0.9625859
0,0,0.92809963
0,0,0.9204851
0,0,0.9284661
1,0,0.9742987
1,0,0.9801234
1,0,0.98679024
1,0,0.9879924
1,0,0.9885574
1,0,0.98707986
0,0,0.5044683
0,0,0.5690342
0,0,0.5756001
0,0,0.5773774
0,0,0.5773774
0,0,0.57770234
0,0,0.44149727
0,0,0.8089922
0,0,0.80897605
0,0,0.86798143
