Y,Y_real,Y_probability
1,1,0.99927664
1,1,0.9992934
1,1,0.99931794
1,1,0.99934936
1,1,0.99934715
1,1,0.9993401
1,1,0.9992111
1,1,0.99930716
1,1,0.999551
1,1,0.9995424
1,1,0.99940544
1,1,0.99920297
1,1,0.99784666
1,1,0.9990382
1,1,0.99854517
1,1,0.9993071
1,1,0.99900573
1,1,0.9989048
1,1,0.9987323
1,1,0.99829686
1,1,0.9990315
1,1,0.9984283
1,1,0.9980388
1,1,0.9984265
1,1,0.99478704
1,1,0.994319
1,1,0.994745
1,1,0.9945722
1,1,0.9949585
1,1,0.9952774
1,1,0.9956656
1,1,0.99589217
1,1,0.9955595
1,1,0.97171235
0,1,0.932844
0,1,0.9335151
0,1,0.9334974
0,1,0.9316804
0,1,0.93384254
0,1,0.93392825
0,1,0.93200743
0,1,0.9360705
1,1,0.9945564
1,1,0.9954649
1,1,0.9928448
1,1,0.99303305
1,1,0.9923822
1,1,0.99383545
1,1,0.9920917
1,1,0.99070954
1,1,0.99852014
1,1,0.9942763
1,1,0.9986897
1,1,0.998915
1,1,0.997382
1,1,0.99868625
1,1,0.9945164
1,1,0.9970029
1,1,0.99875057
1,1,0.9988105
1,1,0.9990766
1,1,0.998688
1,1,0.9968
1,1,0.9954484
1,1,0.99366707
1,1,0.9946033
1,1,0.99511117
1,1,0.99701226
1,1,0.9994462
1,1,0.99624014
1,1,0.9961351
1,1,0.9999936
1,1,0.9999932
1,1,0.9999132
1,1,0.9999871
1,1,0.99998236
1,1,0.99998784
1,1,0.99998623
1,1,0.99961495
0,1,0.50416917
0,1,0.51888144
0,1,0.59736186
0,1,0.5780892
0,1,0.5782749
0,1,0.59310436
1,1,0.9815763
1,1,0.9999793
1,1,0.99999946
1,1,0.9992312
1,1,0.9988121
1,1,0.9993507
1,1,0.9973236
0,1,0.42260727
0,1,0.4881272
0,1,0.48318785
0,1,0.48135307
1,1,0.99976104
1,1,0.99969417
1,1,0.99967164
1,1,0.999669
1,1,0.99963945
0,1,0.5038653
0,1,0.5170341
0,1,0.45849967
0,1,0.45940512
0,1,0.5667922
0,1,0.45829317
0,1,0.4692322
0,1,0.45877394
1,1,0.9998068
1,1,0.9997771
1,1,0.99977666
1,1,0.99973524
1,1,0.9997376
1,1,0.99971366
1,1,0.9996941
1,1,0.9996939
1,1,0.99964195
1,1,0.99773365
1,1,0.99863523
1,1,0.9986117
1,1,0.9939024
1,1,0.99993974
1,1,0.98760986
1,1,0.99044997
1,1,0.99860036
0,1,0.9335831
1,1,0.9969923
1,1,0.99848413
0,1,0.89962745
1,1,0.9960763
1,1,0.99707985
1,1,0.9965534
1,1,0.9964703
1,1,0.9945057
1,1,0.9965962
1,1,0.99815917
1,1,0.998257
1,1,0.9981331
0,1,0.91616356
1,1,0.98834586
0,1,0.9357371
1,1,0.9804217
0,1,0.9450855
0,1,0.92645246
1,1,0.9995419
1,1,0.99974287
1,1,0.99979126
1,1,0.9992762
0,1,0.36108917
0,1,0.33260494
1,1,0.9996153
1,1,0.99994856
0,1,0.35219425
0,1,0.3760641
0,1,0.3289063
0,1,0.47984183
