Y,Y_real,Y_probability
0,1,0.86890256
0,1,0.4659912
0,1,0.4153285
0,1,0.4624751
0,1,0.44283682
0,1,0.4376753
0,1,0.39203274
0,1,0.40559277
0,1,0.44068143
0,1,0.44331416
0,1,0.44562054
0,1,0.43731162
0,1,0.44192758
0,1,0.44572031
0,1,0.44473308
0,1,0.44980177
0,1,0.44929257
0,1,0.48609877
0,1,0.68236697
0,1,0.46696243
0,1,0.65438366
1,1,0.9977251
1,1,0.99918014
1,1,0.96311605
1,1,0.96513754
1,1,0.976629
0,1,0.90154207
0,1,0.89351207
0,1,0.8727385
0,1,0.88659614
0,1,0.40145946
0,1,0.8348133
0,1,0.39528263
0,1,0.7635004
0,1,0.7020398
1,1,0.9913493
1,1,0.9995757
1,1,0.9992377
0,1,0.79065627
1,1,0.9558058
0,1,0.87966096
1,1,0.99879915
0,1,0.87852865
1,1,0.9947446
1,1,0.9964818
1,1,0.9838145
1,1,0.99885577
1,1,0.99886125
1,1,0.9985035
0,1,0.89626545
1,1,0.9992627
1,1,0.99960834
1,1,0.9987345
0,1,0.8856711
1,1,0.9975173
1,1,0.99951565
1,1,0.9917597
0,1,0.70715046
1,1,0.99952495
1,1,0.99956346
1,1,0.9995649
1,1,0.9995246
1,1,0.9987758
1,1,0.98923326
1,1,0.9932267
1,1,0.9911374
1,1,0.97593075
1,1,0.9994244
1,1,0.95767796
1,1,0.99928504
1,1,0.9992193
1,1,0.99561983
1,1,0.97110784
0,1,0.9495949
0,1,0.80742383
0,1,0.8413937
0,1,0.9158976
1,1,0.9996412
0,1,0.48173344
0,1,0.3845494
0,1,0.403803
0,1,0.8071207
0,1,0.37536597
0,1,0.40232575
0,1,0.3722127
0,1,0.84134525
0,1,0.55312663
0,1,0.77431536
0,1,0.7060228
0,1,0.5556652
0,1,0.7045806
0,1,0.7019479
0,1,0.70732474
0,1,0.9325291
1,1,0.99872136
1,1,0.9885199
1,1,0.99819916
1,1,0.9662937
0,1,0.388222
1,1,0.99793863
1,1,0.95665276
0,1,0.8981277
0,1,0.77286166
0,1,0.8126804
0,1,0.79924583
1,1,0.9842609
1,1,0.9775333
0,1,0.7890012
0,1,0.49151137
0,1,0.9407671
0,1,0.58412606
0,1,0.45162678
0,1,0.6019453
0,1,0.4725193
0,1,0.29534662
0,1,0.7084659
0,1,0.7056907
0,1,0.90509945
0,1,0.9192222
0,1,0.83951974
0,1,0.8319052
0,1,0.47949794
0,1,0.71529543
0,1,0.6994573
0,1,0.6987114
0,1,0.7054175
0,1,0.7497219
0,1,0.41719586
0,1,0.8864443
0,1,0.86355746
0,1,0.86031765
0,1,0.92500746
1,1,0.98023665
0,1,0.81048423
0,1,0.84119886
1,1,0.9968356
0,1,0.4157406
0,1,0.5295124
0,1,0.49920458
0,1,0.51391244
0,1,0.5346688
0,1,0.52401763
0,1,0.52520126
1,1,0.99988574
0,1,0.4086557
0,1,0.40475965
0,1,0.39768693
0,1,0.3862877
0,1,0.38674417
0,1,0.38077062
0,1,0.38412547
0,1,0.62157816
0,1,0.7240867
0,1,0.7054821
0,1,0.70183146
0,1,0.7020292
0,1,0.7102035
0,1,0.8330956
0,1,0.87019855
1,1,0.9891703
1,1,0.98685205
1,1,0.9885394
1,1,0.9841715
1,1,0.9864513
1,1,0.9900594
0,1,0.74566126
1,1,0.9956962
1,1,0.9987163
1,1,0.99914384
0,1,0.7287133
0,1,0.5772227
0,1,0.8844595
0,1,0.76137275
1,1,0.9998926
1,1,0.99994266
1,1,0.99953693
1,1,0.9999287
0,1,0.7160793
0,1,0.91146505
1,1,0.99975765
1,1,0.9993539
1,1,0.98798853
1,1,0.99661386
0,1,0.41433352
0,1,0.44528198
0,1,0.6876375
1,1,0.97092235
