Y,Y_real,Y_probability
0,0,0.76966685
0,0,0.5723845
0,0,0.5689961
0,0,0.5855488
0,0,0.5872009
0,0,0.59326696
0,0,0.41071874
0,0,0.45966634
0,0,0.562079
0,0,0.73606837
0,0,0.5820994
0,0,0.59028035
0,0,0.5848868
0,0,0.56729937
0,0,0.5658839
0,0,0.56591326
0,0,0.6893461
0,0,0.6816673
0,0,0.6824898
1,0,0.9751658
0,0,0.6643176
0,0,0.4946085
0,0,0.89536715
0,0,0.6338501
0,0,0.38702786
0,0,0.6516986
0,0,0.6328801
1,0,0.9992521
1,0,0.9998348
1,0,0.9998751
0,0,0.8692816
0,0,0.8770761
0,0,0.6335452
0,0,0.835849
0,0,0.9014342
0,0,0.72122735
0,0,0.7078491
1,0,0.99365824
0,0,0.40082926
0,0,0.81415325
0,0,0.7927724
0,0,0.7755874
1,0,0.9999475
0,0,0.7604325
0,0,0.8208011
0,0,0.7366238
1,0,0.99996746
0,0,0.7488968
0,0,0.90493625
0,0,0.6882241
1,0,0.9999872
1,0,0.9999927
1,0,0.9669539
0,0,0.65452397
0,0,0.66108096
0,0,0.66725636
0,0,0.86855316
0,0,0.57372624
0,0,0.4530682
0,0,0.43782973
0,0,0.94469327
0,0,0.4330212
0,0,0.4883712
0,0,0.3896335
0,0,0.41906336
0,0,0.3949694
0,0,0.39455435
0,0,0.39473575
0,0,0.39763403
0,0,0.39634517
0,0,0.88334894
0,0,0.3954218
0,0,0.38644826
0,0,0.67619854
0,0,0.38580558
0,0,0.64652616
1,0,0.95245904
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
0,0,0.9114354
1,0,0.9937135
1,0,0.96701026
1,0,0.9932604
1,0,0.9889869
0,0,0.773003
0,0,0.9226936
1,0,0.9909727
0,0,0.54623747
0,0,0.53194606
0,0,0.64716053
0,0,0.7530398
1,0,0.98086756
0,0,0.9165131
1,0,0.9806295
0,0,0.82556033
0,0,0.38828573
0,0,0.43311495
0,0,0.42105755
0,0,0.46056506
0,0,0.4560327
0,0,0.45677394
0,0,0.45406994
0,0,0.4628119
0,0,0.31291136
0,0,0.38372296
0,0,0.94468933
0,0,0.94713336
1,0,0.9713777
1,0,0.9904964
1,0,0.99883676
0,0,0.93091536
1,0,0.9867898
0,0,0.57118124
0,0,0.79664576
1,0,0.9985615
0,0,0.44512364
0,0,0.4430748
0,0,0.4401968
0,0,0.43863094
0,0,0.43395767
0,0,0.43593356
0,0,0.43605632
0,0,0.43356803
0,0,0.42945132
0,0,0.4277271
0,0,0.42866147
0,0,0.42810693
0,0,0.4288724
0,0,0.42780447
0,0,0.8064514
0,0,0.9455436
1,0,0.9505515
1,0,0.9733236
1,0,0.98909235
0,0,0.949625
1,0,0.9721341
1,0,0.98145825
1,0,0.9776184
1,0,0.9718368
1,0,0.9746826
1,0,0.97287714
1,0,0.97287714
1,0,0.97287714
1,0,0.9734842
1,0,0.97395205
1,0,0.976383
0,0,0.38117993
1,0,0.98219573
0,0,0.7296831
0,0,0.41978043
1,0,0.9996828
0,0,0.8690863
0,0,0.9297703
0,0,0.88109136
0,0,0.7974995
0,0,0.6690595
0,0,0.5501315
0,0,0.7711066
1,0,0.95972604
0,0,0.49287504
0,0,0.7186668
0,0,0.75702864
0,0,0.7345744
0,0,0.40668494
0,0,0.39718354
0,0,0.4082077
1,0,0.9609125
1,0,0.988406
0,0,0.45100144
0,0,0.4622317
0,0,0.6223711
0,0,0.556049
0,0,0.41898867
0,0,0.5570884
0,0,0.871473
0,0,0.92203397
1,0,0.96690875
0,0,0.4964584
0,0,0.64879453
0,0,0.7998672
0,0,0.81066674
0,0,0.793222
0,0,0.86170137
0,0,0.8201983
0,0,0.7978489
0,0,0.7845374
0,0,0.7800397
0,0,0.7677075
0,0,0.7705412
0,0,0.7699043
1,0,0.9767364
0,0,0.38092342
1,0,0.99831325
1,0,0.98588485
0,0,0.9353779
0,0,0.4059193
1,0,0.99240476
1,0,0.9891786
1,0,0.99361587
1,0,0.99532557
0,0,0.8785411
0,0,0.7720953
0,0,0.83764815
0,0,0.78429264
1,0,0.99400026
0,0,0.39193627
0,0,0.53994197
0,0,0.7750998
0,0,0.92239416
0,0,0.7539072
0,0,0.62068075
0,0,0.46555558
0,0,0.6999096
1,0,0.99993706
0,0,0.40907687
0,0,0.48914418
1,0,0.9911684
1,0,0.9967747
1,0,0.9985081
0,0,0.86011285
1,0,0.9999795
0,0,0.8202021
1,0,0.988471
0,0,0.81905305
0,0,0.58297473
0,0,0.7879456
1,0,0.99471194
0,0,0.53503436
0,0,0.9496011
1,0,0.9998906
1,0,0.9932552
0,0,0.40198743
0,0,0.40754178
0,0,0.39703196
0,0,0.48764
0,0,0.6545378
0,0,0.42882472
