Y,Y_real,Y_probability
0,1,0.77856916
0,1,0.80154985
0,1,0.78507584
0,1,0.6878394
0,1,0.71348995
0,1,0.8159151
1,1,0.99340117
1,1,0.99491775
1,1,0.9967542
1,1,0.9996068
0,1,0.947906
1,1,0.995093
1,1,0.9994581
1,1,0.9685106
1,1,0.9952992
1,1,0.99938345
1,1,0.9986114
1,1,0.99954647
0,1,0.6824965
0,1,0.4430249
0,1,0.45291454
0,1,0.42429912
0,1,0.6171951
0,1,0.4394075
0,1,0.4379189
1,1,0.99969417
1,1,0.99959046
1,1,0.9998346
1,1,0.9998228
0,1,0.895634
0,1,0.9378607
1,1,0.99351585
0,1,0.84434575
0,1,0.63169384
0,1,0.4346518
0,1,0.42829904
0,1,0.7627872
0,1,0.78326404
1,1,0.95403546
0,1,0.8530412
0,1,0.7544051
0,1,0.70498616
0,1,0.9017968
0,1,0.72329754
0,1,0.52610886
0,1,0.8789046
1,1,0.99758255
0,1,0.8119907
1,1,0.9909381
0,1,0.8648825
1,1,0.99978656
0,1,0.85237473
0,1,0.34819922
0,1,0.4014241
0,1,0.40101853
0,1,0.8012491
1,1,0.9992039
1,1,0.997178
1,1,0.9936099
1,1,0.99732226
1,1,0.999583
1,1,0.9574049
0,1,0.72018486
0,1,0.7906902
0,1,0.71061337
0,1,0.45880517
0,1,0.57689095
0,1,0.65680397
0,1,0.46752048
0,1,0.8344868
0,1,0.9418662
1,1,0.9993343
0,1,0.6069671
0,1,0.5069394
1,1,0.99313384
0,1,0.4133851
0,1,0.65249354
0,1,0.7133573
1,1,0.9664889
1,1,0.99486953
1,1,0.9961217
1,1,0.9976426
0,1,0.9224567
0,1,0.8194384
0,1,0.82797676
0,1,0.81739604
0,1,0.6583167
0,1,0.5949278
0,1,0.6455583
0,1,0.9498613
0,1,0.79613334
1,1,0.9995835
1,1,0.99611086
1,1,0.96993077
1,1,0.9883454
0,1,0.47006178
0,1,0.4696595
0,1,0.46506414
0,1,0.49569988
0,1,0.48121843
0,1,0.50828606
0,1,0.43532583
0,1,0.4355038
0,1,0.4355471
1,1,0.9996944
1,1,0.9991658
1,1,0.9985962
0,1,0.39099637
0,1,0.38917604
0,1,0.38498947
0,1,0.38131702
0,1,0.5501905
0,1,0.5123896
0,1,0.5035933
0,1,0.5113934
0,1,0.51902205
0,1,0.5368412
0,1,0.5097187
0,1,0.5182395
0,1,0.8269176
0,1,0.5207404
1,1,0.9874551
0,1,0.9204995
0,1,0.8425108
0,1,0.94623774
0,1,0.50006175
0,1,0.9382996
0,1,0.46897855
0,1,0.94673955
0,1,0.41137752
0,1,0.4117702
0,1,0.41672668
0,1,0.4157004
0,1,0.65808314
1,1,0.9998805
0,1,0.55764234
1,1,0.99287546
0,1,0.9470186
0,1,0.3988942
0,1,0.39844233
1,1,0.95900875
0,1,0.90531737
0,1,0.91183805
1,1,0.9984428
1,1,0.99893343
1,1,0.9998234
1,1,0.9996737
1,1,0.99519044
1,1,0.95730484
1,1,0.9993303
1,1,0.99224234
1,1,0.99766016
0,1,0.5339289
0,1,0.62744474
1,1,0.98750925
0,1,0.823797
1,1,0.9547415
1,1,0.9994151
1,1,0.9996115
1,1,0.99957526
1,1,0.99944353
0,1,0.7273497
1,1,0.96835405
0,1,0.43667933
0,1,0.42331845
0,1,0.41268834
0,1,0.40725973
0,1,0.43843523
0,1,0.4190701
0,1,0.46207502
0,1,0.46394306
