Y,Y_real,Y_probability
0,0,0.5297044
0,0,0.50687534
0,0,0.49196872
0,0,0.4891314
0,0,0.4828969
0,0,0.4748994
0,0,0.4951445
0,0,0.68466794
0,0,0.73922366
0,0,0.51244795
0,0,0.67920625
0,0,0.64594954
0,0,0.655225
0,0,0.5997301
0,0,0.6243802
0,0,0.600033
0,0,0.6170504
0,0,0.61178774
0,0,0.6277932
0,0,0.6274726
0,0,0.62781304
0,0,0.62443703
0,0,0.63048023
0,0,0.62741834
0,0,0.5549089
0,0,0.5284431
0,0,0.5159726
0,0,0.49733236
0,0,0.48081326
0,0,0.47444642
0,0,0.46795633
0,0,0.46138087
0,0,0.4567335
0,0,0.44862548
0,0,0.45278886
0,0,0.46410933
0,0,0.4704016
0,0,0.4657418
0,0,0.4787325
0,0,0.50546056
0,0,0.45142156
0,0,0.4466529
0,0,0.6056826
0,0,0.56141424
0,0,0.5703316
0,0,0.40335822
0,0,0.54372334
0,0,0.4287818
0,0,0.5025491
0,0,0.6991751
0,0,0.41282433
0,0,0.40144628
0,0,0.4137713
0,0,0.48190433
0,0,0.4611074
0,0,0.4591511
0,0,0.51211804
0,0,0.50876504
0,0,0.67041355
0,0,0.65916973
0,0,0.6676245
0,0,0.47112703
0,0,0.47318214
0,0,0.44178578
0,0,0.43548393
0,0,0.53312266
0,0,0.66869915
0,0,0.6256935
0,0,0.6429389
0,0,0.66000843
0,0,0.6530195
0,0,0.64900607
0,0,0.6787088
0,0,0.70300627
0,0,0.5065127
0,0,0.64219755
0,0,0.47952715
0,0,0.49518773
0,0,0.70765024
0,0,0.5113376
0,0,0.47300133
0,0,0.49094573
0,0,0.5161054
0,0,0.46291468
0,0,0.44643703
0,0,0.45437014
0,0,0.5061583
0,0,0.48913035
0,0,0.4769524
0,0,0.49554908
0,0,0.511141
0,0,0.42647403
0,0,0.44774663
0,0,0.43742213
0,0,0.47173962
0,0,0.5419777
0,0,0.502669
0,0,0.48152518
0,0,0.4790765
0,0,0.57652956
0,0,0.68608034
0,0,0.49429873
0,0,0.50635666
0,0,0.41760564
0,0,0.6705722
0,0,0.64855146
0,0,0.651961
0,0,0.5779252
0,0,0.52369547
0,0,0.52965873
0,0,0.41792995
0,0,0.4428018
0,0,0.45033813
0,0,0.47245437
0,0,0.5117257
0,0,0.54776734
0,0,0.5620889
0,0,0.43388766
0,0,0.45092407
0,0,0.45508814
0,0,0.46889123
0,0,0.47515616
0,0,0.47752377
0,0,0.4556204
0,0,0.45152482
0,0,0.44918564
0,0,0.51843303
0,0,0.41893187
0,0,0.41229618
0,0,0.41008213
0,0,0.4325491
0,0,0.68948096
0,0,0.4995965
0,0,0.6561587
0,0,0.63034403
0,0,0.46283838
0,0,0.9262797
0,0,0.68247145
0,0,0.6648036
0,0,0.54289895
0,0,0.52167195
0,0,0.5831976
0,0,0.5362072
0,0,0.53910935
0,0,0.6086143
0,0,0.64681447
0,0,0.70502627
0,0,0.63900423
0,0,0.58840275
0,0,0.63328916
0,0,0.62845445
0,0,0.6381013
0,0,0.62509245
0,0,0.4517835
0,0,0.4730739
0,0,0.46141627
0,0,0.47679105
0,0,0.46539563
0,0,0.45535848
0,0,0.46072116
0,0,0.45922002
0,0,0.48351622
0,0,0.67992896
0,0,0.6343282
0,0,0.6205973
0,0,0.6148881
0,0,0.6145609
0,0,0.6124015
0,0,0.832933
0,0,0.85005313
0,0,0.58949983
0,0,0.6609491
0,0,0.59040725
0,0,0.4549642
0,0,0.50509286
0,0,0.49782106
0,0,0.47838193
0,0,0.46482664
0,0,0.6100764
0,0,0.74110055
0,0,0.6900548
0,0,0.67943335
0,0,0.9327258
0,0,0.56594646
0,0,0.5871548
0,0,0.41669476
0,0,0.66369534
0,0,0.66056114
0,0,0.6791438
0,0,0.63572043
0,0,0.66853684
0,0,0.68759483
0,0,0.48197347
0,0,0.4965201
0,0,0.49136707
0,0,0.4886796
0,0,0.66639066
0,0,0.5938563
0,0,0.45882288
0,0,0.47966313
0,0,0.49743176
0,0,0.4874985
0,0,0.48126003
0,0,0.40938666
0,0,0.40879992
0,0,0.406213
0,0,0.40920454
0,0,0.4080564
0,0,0.6884276
0,0,0.69208616
0,0,0.6556436
0,0,0.7324892
0,0,0.7956799
0,0,0.77643365
0,0,0.6100848
0,0,0.6229209
0,0,0.608476
0,0,0.6524543
0,0,0.65272504
0,0,0.5056744
0,0,0.788332
0,0,0.7217038
0,0,0.72580194
0,0,0.5230473
0,0,0.5327266
0,0,0.53838336
0,0,0.50261563
0,0,0.4875104
0,0,0.47578663
0,0,0.469063
0,0,0.62381333
0,0,0.6193849
0,0,0.6580749
0,0,0.6640549
0,0,0.61086786
0,0,0.6131121
0,0,0.6238297
0,0,0.6218968
0,0,0.3098183
0,0,0.32365415
0,0,0.32073238
0,0,0.32808083
0,0,0.31946695
0,0,0.62425315
0,0,0.6080071
0,0,0.56495905
0,0,0.5658637
0,0,0.47602317
0,0,0.6120565
0,0,0.7144678
0,0,0.61180604
0,0,0.6190318
0,0,0.619061
0,0,0.61900103
0,0,0.6190075
0,0,0.6196766
0,0,0.6054402
0,0,0.61865956
0,0,0.61441034
0,0,0.42657554
0,0,0.41998217
0,0,0.41409126
0,0,0.58914465
0,0,0.6453613
0,0,0.6887047
0,0,0.6527184
0,0,0.5851539
0,0,0.5848698
0,0,0.6434777
0,0,0.65061754
0,0,0.60925424
0,0,0.6233183
0,0,0.62398994
0,0,0.63773596
0,0,0.61851734
0,0,0.6466751
0,0,0.609557
0,0,0.5879313
0,0,0.6254345
0,0,0.6235957
0,0,0.627883
0,0,0.64125377
0,0,0.6390779
0,0,0.64139587
0,0,0.6296368
0,0,0.63668257
0,0,0.6353059
0,0,0.6227312
0,0,0.6528635
0,0,0.5613304
0,0,0.6269073
0,0,0.6402523
0,0,0.6363531
0,0,0.6415188
0,0,0.46998814
0,0,0.44791573
0,0,0.4464962
0,0,0.5842242
0,0,0.5983778
0,0,0.6083024
0,0,0.58126146
0,0,0.6334342
0,0,0.5950583
0,0,0.5946605
0,0,0.61040145
0,0,0.6219822
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.62558967
0,0,0.5094338
0,0,0.4031938
0,0,0.7204359
0,0,0.6253501
0,0,0.6478261
0,0,0.6731575
0,0,0.6769879
0,0,0.6852054
0,0,0.6760082
0,0,0.63302314
0,0,0.61288494
0,0,0.5820075
0,0,0.68900126
0,0,0.6882339
0,0,0.686095
0,0,0.5064424
0,0,0.521002
0,0,0.5695154
0,0,0.50005287
0,0,0.48681408
0,0,0.46951723
0,0,0.4247752
0,0,0.40021604
0,0,0.5538789
0,0,0.59671634
0,0,0.63841134
0,0,0.41934693
0,0,0.4066394
0,0,0.42298672
0,0,0.446054
0,0,0.4663368
0,0,0.6419507
0,0,0.6291041
0,0,0.90688354
0,0,0.60032725
0,0,0.6425664
0,0,0.44002873
0,0,0.52521574
0,0,0.5279575
0,0,0.52777284
0,0,0.62025064
0,0,0.6192918
0,0,0.61872745
0,0,0.6181319
0,0,0.5940744
0,0,0.5941246
0,0,0.6105926
0,0,0.6134947
0,0,0.6052811
0,0,0.58636624
0,0,0.5800339
0,0,0.58690345
0,0,0.5891195
0,0,0.5899399
0,0,0.5932555
0,0,0.5952879
0,0,0.60814655
0,0,0.61080396
0,0,0.610712
0,0,0.6078935
0,0,0.6094744
0,0,0.6104923
0,0,0.6831924
0,0,0.4082204
0,0,0.43794724
0,0,0.5567713
0,0,0.5669892
0,0,0.52618486
0,0,0.49419373
0,0,0.4976401
0,0,0.5895547
0,0,0.60693276
0,0,0.58944476
0,0,0.55352175
0,0,0.55048966
0,0,0.557808
0,0,0.46283245
0,0,0.5171106
0,0,0.4728508
0,0,0.4728123
0,0,0.5612392
0,0,0.5641027
0,0,0.5595642
0,0,0.5314304
0,0,0.57140785
0,0,0.44149777
0,0,0.4836165
0,0,0.46147034
0,0,0.45190504
0,0,0.64216095
0,0,0.6522029
0,0,0.67824703
0,0,0.6473647
0,0,0.6424448
0,0,0.66607535
0,0,0.66492647
0,0,0.65840477
0,0,0.5300574
0,0,0.52810407
0,0,0.57846373
0,0,0.6279916
0,0,0.67144734
0,0,0.51387876
0,0,0.6186601
